datetime,open,high,low,close,volume,prev_close,daily_return,overnight_gap,intraday_return,high_above_prev_close,low_below_prev_close,threshold_68,below_threshold_68,breach_depth_68,upside_threshold_68,above_upside_threshold_68,upside_breach_magnitude_68,threshold_90,below_threshold_90,breach_depth_90,upside_threshold_90,above_upside_threshold_90,upside_breach_magnitude_90,threshold_95,below_threshold_95,breach_depth_95,upside_threshold_95,above_upside_threshold_95,upside_breach_magnitude_95,threshold_99,below_threshold_99,breach_depth_99,upside_threshold_99,above_upside_threshold_99,upside_breach_magnitude_99,trade_signal,position_status,entry_price,exit_price,target_price,pnl,running_pnl,current_equity,position_size,shares,next_day_recovery_potential,position_underwater,scaling_opportunity,true_range,prev_day_up,prev_day_down,volatility_regime
2022-08-21 22:00:00,115.2,115.63,113.85,114.24,21456648,,,,-0.008333,0,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,,0,0,
2022-08-22 22:00:00,113.475,115.01,113.43,113.86,15870373,114.24,-0.003326,-0.006696,0.003393,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,1.58,0,0,
2022-08-23 22:00:00,113.5,114.78,112.8701,113.69,17734624,113.86,-0.001493,-0.003162,0.001674,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,1.9099,0,1,
2022-08-24 22:00:00,114.235,116.72,114.11,116.65,16956794,113.69,0.026036,0.004794,0.021141,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,3.03,0,1,
2022-08-25 22:00:00,114.72,115.12,110.19,110.34,37245697,116.65,-0.054093,-0.016545,-0.03818,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,6.46,1,0,
2022-08-28 22:00:00,109.99,110.95,108.8,109.42,21191157,110.34,-0.008338,-0.003172,-0.005182,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,2.15,0,1,
2022-08-29 22:00:00,110.17,110.5,107.8,108.94,27513255,109.42,-0.004387,0.006854,-0.011165,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,2.7,0,1,
2022-08-30 22:00:00,110.65,110.85,108.13,108.22,28626972,108.94,-0.006609,0.015697,-0.021961,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,2.72,0,1,
2022-08-31 22:00:00,108.28,110.445,107.36,109.74,28360926,108.22,0.014045,0.000554,0.013484,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,3.085,0,1,
2022-09-01 22:00:00,110.59,110.74,107.26,107.85,24160711,109.74,-0.017223,0.007746,-0.024776,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,3.48,1,0,
2022-09-05 22:00:00,107.3,108.03,105.78,106.81,25068280,107.85,-0.009643,-0.0051,-0.004567,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,2.25,0,1,
2022-09-06 22:00:00,107.06,109.98,106.9,109.45,23166967,106.81,0.024717,0.002341,0.022324,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,3.17,0,1,
2022-09-07 22:00:00,108.04,109.6,107.16,108.38,24238293,109.45,-0.009776,-0.012883,0.003147,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,2.44,1,0,
