datetime,open,high,low,close,volume,prev_close,daily_return,overnight_gap,intraday_return,high_above_prev_close,low_below_prev_close,threshold_68,below_threshold_68,breach_depth_68,upside_threshold_68,above_upside_threshold_68,upside_breach_magnitude_68,threshold_90,below_threshold_90,breach_depth_90,upside_threshold_90,above_upside_threshold_90,upside_breach_magnitude_90,threshold_95,below_threshold_95,breach_depth_95,upside_threshold_95,above_upside_threshold_95,upside_breach_magnitude_95,threshold_99,below_threshold_99,breach_depth_99,upside_threshold_99,above_upside_threshold_99,upside_breach_magnitude_99,trade_signal,position_status,entry_price,exit_price,target_price,pnl,running_pnl,current_equity,position_size,shares,next_day_recovery_potential,position_underwater,scaling_opportunity,true_range,prev_day_up,prev_day_down,volatility_regime
2022-08-21 22:00:00,17.49,17.558,16.966,17.034,409592710,,,,-0.026072,0,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,,0,0,
2022-08-22 22:00:00,16.9885,17.465,16.97,17.181,369985770,17.034,0.00863,-0.002671,0.011331,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.495,0,0,
2022-08-23 22:00:00,17.012,17.406,16.895,17.222,522660710,17.181,0.002386,-0.009836,0.012344,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.511,1,0,
2022-08-24 22:00:00,16.844,17.947,16.833,17.913,770691330,17.222,0.040123,-0.021949,0.063465,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,1.114,1,0,
2022-08-25 22:00:00,17.857,17.924,16.237,16.26,769127430,17.913,-0.092279,-0.003126,-0.089433,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,1.687,1,0,
2022-08-28 22:00:00,16.02,16.338,15.767,15.801,496131940,16.26,-0.028229,-0.01476,-0.01367,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.571,0,1,
2022-08-29 22:00:00,15.96,16.039,15.182,15.468,530180690,15.801,-0.021075,0.010063,-0.030827,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.857,0,1,
2022-08-30 22:00:00,15.384,15.54,14.95851,15.094,573709860,15.468,-0.024179,-0.005431,-0.018851,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,0.58149,0,1,
2022-08-31 22:00:00,14.209,14.38,13.27021,13.937,1178865140,15.094,-0.076653,-0.058633,-0.019143,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,1.82379,0,1,
2022-09-01 22:00:00,14.1,14.171,13.591,13.647,743157460,13.937,-0.020808,0.011695,-0.032128,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.58,0,1,
2022-09-05 22:00:00,13.731,13.779,13.351,13.465,535751180,13.647,-0.013336,0.006155,-0.019372,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.428,0,1,
2022-09-06 22:00:00,13.563,13.838,13.346,13.714,512657460,13.465,0.018492,0.007278,0.011133,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.492,0,1,
2022-09-07 22:00:00,13.459,14.008,13.369,13.99,624873120,13.714,0.020125,-0.018594,0.039453,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.639,1,0,
2022-09-08 22:00:00,14.157,14.474,14.126,14.387,487128420,13.99,0.028377,0.011937,0.016246,1,0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.484,1,0,
2022-09-11 22:00:00,14.369,14.547,14.198,14.505,484159240,14.387,0.008202,-0.001251,0.009465,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,0.349,1,0,
2022-09-12 22:00:00,13.802,13.922,13.099,13.131,714955630,14.505,-0.094726,-0.048466,-0.048616,0,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,1.406,1,0,
2022-09-13 22:00:00,13.254,13.28999,12.913,13.128,588506540,13.131,-0.000228,0.009367,-0.009507,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.37699,0,1,
2022-09-14 22:00:00,13.0152,13.23299,12.79,12.929,523625160,13.128,-0.015158,-0.008592,-0.006623,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.44299,0,1,
2022-09-15 22:00:00,12.7415,13.212,12.617,13.198,670751400,12.929,0.020806,-0.014502,0.035828,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.595,0,1,
2022-09-18 22:00:00,13.012,13.463,13.01,13.382,569685280,13.198,0.013942,-0.014093,0.028435,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.453,1,0,
2022-09-19 22:00:00,13.2145,13.48276,13.057,13.176,524817750,13.382,-0.015394,-0.012517,-0.002913,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,1,0,0,0.42576,1,0,
2022-09-20 22:00:00,13.213,14.031,13.11,13.261,807679400,13.176,0.006451,0.002808,0.003633,1,1,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,,,,,,,25000.0,,,0,0,0,0.921,0,1,
